	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	Control	HPA	QT_121004_21	QT_121004_23	QT_121004_25	QT_121004_27	QT_121004_31	QT_121004_33	QT_121004_35	QT_121004_37	QT_121004_41	QT_121004_43	QT_121004_26	QT_121004_34	QT_121004_42	QT_121004_48	QT_121004_56	QT_121004_64	QT_121004_66		
1263	M423T446	Inf	3.629590496	0.010970531	423.4924406	423.4919966	423.4925318	445.8	445.5	446.86	5	0	5	0	0	0	0	0	0	0	0	0	0	5254.540188	12067.46888	5553.594558	6153.873831	0	1577.951735	6668.784062		
1319	M424T446_1	Inf	3.50636085	0.012727552	423.7422029	423.7416578	423.7426359	445.8	445.8	446.86	5	0	5	0	0	0	0	0	0	0	0	0	0	4412.526669	11231.64559	6161.857697	5867.990582	0	833.9217916	6766.264944		
1165	M424T1048	Inf	3.868341519	0.008281784	423.7821125	423.781881	423.7823384	1047.75	1047.7	1048.44	4	0	4	0	0	0	0	0	0	0	0	0	0	2671.121926	4503.71502	2281.461758	2433.839837	1029.342391	693.3564784	604.1478093		
1345	M424T446_2	Inf	3.437480563	0.013843618	423.993419	423.9925571	423.993694	446.16	445.5	446.56	5	0	5	0	0	0	0	0	0	0	0	0	0	3152.269918	5387.74609	1549.731121	3132.93328	0	460.4890747	3845.273448		
1398	M424T383	Inf	3.292027575	0.016571826	424.1716336	424.1710063	424.1719275	382.67	382.44	382.8	5	0	5	0	0	0	0	0	0	0	0	0	0	3393.376384	2748.678342	2397.392002	7103.759774	0	678.2296576	4089.720877		
1910	M429T1045_1	Inf	2.365569957	0.055857532	428.7736869	428.7730001	428.7742815	1045.44	1044.7	1045.74	5	0	5	0	0	0	0	0	0	0	0	0	0	19406.48678	28284.3849	5954.445718	8456.704022	1204.849571	1301.467512	1368.671108		
932	M429T1045_2	Inf	4.764833079	0.003110895	429.2756902	429.274308	429.276303	1044.925	1044.7	1045.44	4	0	4	0	0	0	0	0	0	0	0	0	0	6602.526341	12842.69878	2579.225586	3870.88003	5186.852955	5524.497475	4986.082778		
1484	M438T999	Inf	3.092751079	0.021312814	437.7772916	437.776627	437.7790067	999.21	998.52	999.55	4	0	4	0	0	0	0	0	0	0	0	0	0	4549.573221	6518.68665	1347.964922	3197.995971	7941.665263	428.6933342	440.1958226		
1270	M438T57	Inf	3.608712222	0.011248302	438.1714963	438.1703922	438.1719318	57.06	56.79	57.09	4	0	4	0	0	0	0	0	0	0	0	0	0	3044.824861	1661.063129	1096.387255	1901.23665	0	1400.479811	438.063614		
1318	M445T447	Inf	3.50748558	0.012710172	445.2503757	445.2502311	445.2507231	446.82	446.46	447.52	6	0	6	0	0	0	0	0	0	0	0	0	0	13871.84204	37348.25767	22663.73371	21804.8944	0	4729.579737	14617.68475		
1209	M446T447_1	Inf	3.759817829	0.009400539	445.5009182	445.5007226	445.5013594	446.82	446.46	447.52	6	0	6	0	0	0	0	0	0	0	0	0	0	16146.73017	31914.64371	21844.44938	20562.83218	0	4382.372196	13027.6328		
1297	M446T447_2	Inf	3.544583533	0.01215135	445.7520328	445.7513402	445.7524486	446.64	446.46	447.88	6	0	6	0	0	0	0	0	0	0	0	0	0	8750.235769	17836.25201	11876.77252	11153.75702	0	1515.68028	6825.600208		
1341	M446T447_3	Inf	3.444260814	0.013729105	446.0026743	446.0023262	446.0030953	446.76	446.16	447.52	5	0	5	0	0	0	0	0	0	0	0	0	0	3095.620502	7252.515703	3756.541418	4622.657431	0	738.7920425	2653.553035		
988	M462T1128	Inf	4.507048339	0.004073261	462.3643145	462.3622769	462.3662425	1128.385	1126.62	1130.22	4	0	4	0	0	0	0	0	0	0	0	0	0	434.4186324	405.1422396	1571.558754	1143.851007	2544.535113	2397.705718	1706.303219		
1114	M468T447_1	Inf	4.020757053	0.006952858	467.5101101	467.5098959	467.5103981	447.48	447.12	448.18	6	0	6	0	0	0	0	0	0	0	0	0	0	33651.76027	65081.70199	43891.22628	30673.57843	0	13735.86166	34566.48267		
1084	M468T448	Inf	4.104700592	0.006323879	467.7604594	467.7584856	467.7609293	447.63	447.12	448.18	6	0	6	0	0	0	0	0	0	0	0	0	0	13554.43512	25355.08092	15919.1818	13924.78831	0	5247.734766	13561.4619		
1133	M468T447_2	Inf	3.949136973	0.007545104	468.0104191	468.0099739	468.0114591	447.45	447.12	448.18	6	0	6	0	0	0	0	0	0	0	0	0	0	3850.688747	8849.163082	6094.300439	4800.042836	0	1788.66022	4542.210946		
1158	M476T447	Inf	3.874526254	0.008222645	476.4948126	476.4934206	476.4968206	447.48	447.12	448.18	5	0	5	0	0	0	0	0	0	0	0	0	0	4049.328056	7338.136443	5118.523254	2754.590005	0	1439.994523	4060.13651		
1103	M477T447_1	Inf	4.063491166	0.006624324	476.744952	476.7443101	476.7461219	447.48	447.12	448.54	5	0	5	0	0	0	0	0	0	0	0	0	0	3541.114307	7278.70052	4741.242457	4216.51957	0	1379.801399	4260.431273		
1273	M477T447_2	Inf	3.605150618	0.01129646	476.9957611	476.9944817	476.9962175	447.48	447.12	447.78	5	0	5	0	0	0	0	0	0	0	0	0	0	1948.253996	5563.819836	2816.51019	2417.021363	0	1117.616808	2565.530743		
926	M478T1025_1	Inf	4.79343048	0.003020983	477.7560262	477.7538331	477.7574684	1025.145	1024.63	1025.33	4	0	4	0	0	0	0	0	0	0	0	0	0	1812.192947	1647.397348	1628.661702	1614.671288	288.751307	620.2471036	564.4501039		
439	M479T1181	Inf	9.306620939	8.71E-05	479.4066296	479.4060575	479.4088463	1181.21	1181.03	1181.39	4	0	4	0	0	0	0	0	0	0	0	0	0	1887.321791	1128.416717	1154.971636	1766.130246	1870.645877	2170.017803	2528.95078		
1376	M489T1048	Inf	3.368635509	0.015067841	488.7634222	488.7623053	488.7652324	1047.86	1047.42	1048.44	4	0	4	0	0	0	0	0	0	0	0	0	0	2403.277862	3728.308985	2158.742897	1975.69366	282.5095069	324.6543732	609.731053		
1611	M489T914	Inf	2.851734795	0.029115324	489.1475871	489.1455244	489.1487199	913.925	913.74	914.13	4	0	4	0	0	0	0	0	0	0	0	0	0	1433.566739	3724.052709	1381.118673	2306.92621	174.7951913	331.9283174	361.2981685		
640	M494T993	Inf	6.970523197	0.000433287	494.1421731	494.1418882	494.1433855	993.3	992.62	993.3	4	0	4	0	0	0	0	0	0	0	0	0	0	1740.219581	1085.53782	1628.02819	1701.334553	467.7271409	908.6516464	1199.902367		
1550	M495T914_1	Inf	2.95754292	0.025363602	495.1635554	495.161911	495.164646	913.965	913.74	914.41	4	0	4	0	0	0	0	0	0	0	0	0	0	1315.708862	3596.594832	1526.6788	2020.00252	0	628.0237681	388.0708313		
369	M499T972	Inf	10.68534596	3.96E-05	499.1291381	499.128036	499.1299583	972	971.82	972.18	4	0	4	0	0	0	0	0	0	0	0	0	0	1160.853554	988.1323039	1397.430917	1852.021693	1697.188449	2001.013317	1860.099933		
1658	M501T914	Inf	2.775871333	0.032171938	501.1803616	501.179736	501.1811052	914.105	913.74	914.43	4	0	4	0	0	0	0	0	0	0	0	0	0	1041.181119	2720.565409	1114.369446	1243.788027	0	206.525533	392.5686951		
1538	M503T490	Inf	2.983988733	0.024509892	503.3063463	503.3058026	503.3068263	489.69	489.37	489.72	4	0	4	0	0	0	0	0	0	0	0	0	0	923.3414603	4114.185553	955.6405439	768.7336605	1213.52736	890.9581096	4822.954935		
1068	M506T412_1	Inf	4.164377104	0.00591547	506.0339067	506.0332861	506.0342454	411.81	410.49	412.8	6	0	6	0	0	0	0	0	0	0	0	0	0	7343.938523	15068.18156	2913.376258	9859.963995	6980.095605	7478.879298	952.4464568		
942	M506T412_2	Inf	4.715146038	0.003274404	506.2846685	506.2842298	506.2851737	411.59	410.85	412.5	6	0	6	0	0	0	0	0	0	0	0	0	0	8277.864113	16626.96913	5514.614189	11080.13649	8618.119366	8918.006639	954.9282164		
1405	M507T411	Inf	3.279883931	0.01682502	506.5349562	506.534756	506.536491	411.18	410.45	412.36	5	0	5	0	0	0	0	0	0	0	0	0	0	3305.551227	11531.59309	1998.427938	7531.329015	5238.90653	3365.510106	100.881774		
842	M509T1025	Inf	5.300803178	0.001828415	508.7421847	508.7414144	508.7430166	1025.285	1024.95	1025.33	4	0	4	0	0	0	0	0	0	0	0	0	0	3663.196471	3381.376042	2757.325675	3288.967841	1066.38425	1444.805054	925.1027597		
1780	M516T230	Inf	2.557013487	0.043081611	515.5388838	515.5377071	515.5399732	230.3	229.98	230.37	4	0	4	0	0	0	0	0	0	0	0	0	0	1749.619707	2397.408461	0	0	2699.802298	1103.249403	0		
